Land-Ocean: Global Means,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average
1948,0.07,-0.15,-0.25,-0.12,-0.01,-0.05,-0.11,-0.12,-0.15,-0.05,-0.13,-0.24,-0.109166667
1949,0.07,-0.15,-0.02,-0.11,-0.1,-0.27,-0.13,-0.13,-0.15,-0.07,-0.11,-0.18,-0.1125
1950,-0.26,-0.27,-0.08,-0.21,-0.11,-0.05,-0.09,-0.16,-0.12,-0.21,-0.34,-0.21,-0.175833333
1951,-0.34,-0.41,-0.2,-0.14,-0.01,-0.07,-0.01,0.06,0.05,0.07,-0.01,0.16,-0.070833333
1952,0.11,0.11,-0.08,0.03,-0.03,-0.03,0.04,0.05,0.07,0,-0.13,-0.02,0.01
1953,0.07,0.15,0.11,0.19,0.11,0.11,0.01,0.05,0.04,0.08,-0.03,0.05,0.078333333
1954,-0.24,-0.1,-0.15,-0.14,-0.2,-0.19,-0.19,-0.17,-0.1,-0.02,0.08,-0.18,-0.133333333
1955,0.13,-0.16,-0.32,-0.22,-0.2,-0.14,-0.12,0.02,-0.11,-0.05,-0.25,-0.28,-0.141666667
1956,-0.13,-0.24,-0.21,-0.27,-0.29,-0.16,-0.09,-0.26,-0.19,-0.23,-0.15,-0.06,-0.19
1957,-0.09,-0.03,-0.04,0.01,0.09,0.16,0.03,0.13,0.08,0,0.07,0.15,0.046666667
1958,0.39,0.21,0.09,0.01,0.05,-0.07,0.06,-0.03,-0.02,0.04,0.02,0.01,0.063333333
1959,0.08,0.07,0.17,0.14,0.05,0.03,0.03,0,-0.06,-0.06,-0.08,0,0.030833333
1960,0,0.14,-0.34,-0.15,-0.07,-0.04,-0.04,0.03,0.06,0.05,-0.11,0.19,-0.023333333
1961,0.07,0.19,0.1,0.12,0.13,0.11,0.01,0.01,0.08,0.02,0.04,-0.16,0.06
1962,0.06,0.16,0.11,0.06,-0.07,0.05,0.02,-0.02,0.02,0.02,0.06,-0.02,0.0375
1963,-0.03,0.18,-0.13,-0.07,-0.06,0.03,0.07,0.22,0.18,0.14,0.14,-0.03,0.053333333
1964,-0.09,-0.1,-0.22,-0.32,-0.25,-0.04,-0.05,-0.21,-0.3,-0.31,-0.22,-0.3,-0.200833333
1965,-0.08,-0.17,-0.12,-0.2,-0.11,-0.08,-0.14,-0.05,-0.14,-0.06,-0.06,-0.08,-0.1075
1966,-0.19,-0.05,0.03,-0.14,-0.12,0,0.08,-0.08,-0.03,-0.16,-0.01,-0.03,-0.058333333
1967,-0.08,-0.21,0.05,-0.04,0.11,-0.08,0.03,0,-0.05,0.1,-0.04,-0.05,-0.021666667
1968,-0.26,-0.15,0.2,-0.06,-0.13,-0.07,-0.12,-0.08,-0.17,0.09,-0.05,-0.14,-0.078333333
1969,-0.11,-0.17,0.01,0.17,0.18,0.04,-0.04,0.04,0.08,0.1,0.12,0.24,0.055
1970,0.08,0.22,0.06,0.05,-0.04,-0.03,0.01,-0.1,0.11,0.03,0.02,-0.12,0.024166667
1971,-0.03,-0.16,-0.18,-0.07,-0.05,-0.17,-0.08,-0.01,-0.06,-0.04,-0.07,-0.08,-0.083333333
1972,-0.22,-0.18,0.02,0,-0.03,0.04,0.01,0.16,0.02,0.08,0.02,0.17,0.0075
1973,0.28,0.33,0.29,0.27,0.22,0.19,0.12,0.05,0.09,0.1,0.05,-0.06,0.160833333
1974,-0.11,-0.27,-0.05,-0.11,-0.04,-0.05,-0.03,0.11,-0.08,-0.06,-0.07,-0.08,-0.07
1975,0.1,0.08,0.12,0.04,0.16,-0.01,-0.01,-0.17,-0.03,-0.12,-0.17,-0.17,-0.015
1976,-0.03,-0.06,-0.22,-0.07,-0.21,-0.13,-0.1,-0.12,-0.07,-0.24,-0.06,0.11,-0.1
1977,0.18,0.23,0.25,0.27,0.33,0.27,0.2,0.18,0.02,0.03,0.16,0.03,0.179166667
1978,0.06,0.1,0.19,0.17,0.09,-0.01,0.04,-0.13,0.06,0.03,0.14,0.08,0.068333333
1979,0.08,-0.1,0.19,0.15,0.03,0.14,0.04,0.17,0.25,0.25,0.29,0.48,0.164166667
1980,0.3,0.4,0.3,0.3,0.35,0.2,0.22,0.18,0.2,0.13,0.29,0.22,0.2575
1981,0.52,0.42,0.48,0.32,0.25,0.29,0.32,0.35,0.15,0.12,0.23,0.41,0.321666667
1982,0.05,0.16,0.03,0.15,0.18,0.06,0.14,0.03,0.13,0.13,0.17,0.42,0.1375
1983,0.53,0.43,0.41,0.28,0.33,0.22,0.18,0.35,0.37,0.16,0.3,0.17,0.310833333
1984,0.31,0.14,0.26,0.06,0.32,0.02,0.19,0.19,0.21,0.14,0.07,-0.04,0.155833333
1985,0.22,-0.04,0.17,0.12,0.14,0.15,0.04,0.16,0.13,0.11,0.05,0.13,0.115
1986,0.27,0.37,0.3,0.22,0.21,0.12,0.11,0.15,0.03,0.15,0.11,0.14,0.181666667
1987,0.32,0.43,0.18,0.24,0.25,0.34,0.4,0.24,0.35,0.32,0.29,0.46,0.318333333
1988,0.57,0.44,0.51,0.42,0.43,0.4,0.32,0.39,0.36,0.37,0.12,0.28,0.384166667
1989,0.12,0.3,0.36,0.29,0.17,0.16,0.34,0.33,0.35,0.29,0.19,0.37,0.2725
1990,0.41,0.43,0.79,0.56,0.45,0.39,0.46,0.34,0.23,0.45,0.46,0.41,0.448333333
1991,0.42,0.5,0.35,0.51,0.34,0.53,0.47,0.4,0.44,0.28,0.29,0.32,0.404166667
1992,0.47,0.41,0.47,0.27,0.3,0.25,0.08,0.08,-0.01,0.06,0.03,0.21,0.218333333
1993,0.34,0.37,0.36,0.27,0.28,0.23,0.25,0.11,0.11,0.23,0.04,0.18,0.230833333
1994,0.26,0.02,0.3,0.4,0.28,0.43,0.3,0.22,0.32,0.41,0.44,0.38,0.313333333
1995,0.51,0.79,0.47,0.46,0.28,0.42,0.45,0.46,0.33,0.47,0.44,0.25,0.444166667
1996,0.23,0.47,0.33,0.32,0.28,0.25,0.36,0.48,0.24,0.2,0.39,0.37,0.326666667
1997,0.3,0.41,0.52,0.35,0.36,0.54,0.34,0.43,0.52,0.6,0.64,0.58,0.465833333
1998,0.58,0.88,0.63,0.64,0.67,0.76,0.68,0.66,0.42,0.43,0.44,0.56,0.6125
1999,0.49,0.65,0.32,0.33,0.28,0.36,0.38,0.32,0.38,0.34,0.37,0.41,0.385833333
2000,0.25,0.56,0.55,0.57,0.35,0.39,0.38,0.42,0.4,0.27,0.31,0.28,0.394166667
2001,0.46,0.44,0.56,0.51,0.58,0.52,0.59,0.5,0.52,0.51,0.73,0.56,0.54
2002,0.77,0.79,0.88,0.58,0.63,0.53,0.6,0.53,0.62,0.54,0.59,0.43,0.624166667
2003,0.75,0.59,0.59,0.55,0.61,0.48,0.58,0.65,0.63,0.73,0.53,0.75,0.62
2004,0.58,0.73,0.63,0.61,0.39,0.44,0.26,0.47,0.51,0.61,0.73,0.5,0.538333333
2005,0.74,0.6,0.74,0.68,0.63,0.65,0.62,0.62,0.71,0.75,0.74,0.68,0.68
2006,0.56,0.73,0.63,0.49,0.49,0.65,0.55,0.71,0.65,0.69,0.73,0.79,0.639166667
2007,1.01,0.7,0.72,0.75,0.68,0.61,0.6,0.6,0.6,0.59,0.58,0.49,0.660833333
2008,0.3,0.38,0.74,0.53,0.49,0.49,0.6,0.47,0.61,0.65,0.69,0.54,0.540833333
2009,0.65,0.54,0.54,0.6,0.66,0.65,0.71,0.68,0.73,0.66,0.8,0.67,0.6575
2010,0.75,0.84,0.91,0.84,0.76,0.68,0.64,0.66,0.63,0.71,0.82,0.45,0.724166667
2011,0.52,0.48,0.64,0.65,0.52,0.61,0.7,0.73,0.58,0.66,0.59,0.6,0.606666667
2012,0.49,0.49,0.57,0.71,0.77,0.65,0.58,0.64,0.71,0.78,0.79,0.53,0.6425
2013,0.71,0.63,0.67,0.56,0.61,0.7,0.61,0.7,0.77,0.69,0.85,0.7,0.683333333
2014,0.76,0.55,0.79,0.81,0.85,0.67,0.59,0.8,0.84,0.79,0.67,0.8,0.743333333
2015,0.86,0.9,0.96,0.77,0.79,0.81,0.74,0.82,0.84,1.08,1.06,1.16,0.899166667
2016,1.17,1.37,1.36,1.12,0.95,0.81,0.84,1.01,0.91,0.87,0.9,0.85,1.013333333
2017,1.03,1.13,1.15,0.93,0.9,0.72,0.82,0.86,0.79,0.9,0.88,0.94,0.920833333
2018,0.82,0.84,0.89,0.89,0.82,0.78,0.82,0.76,0.81,1,0.82,0.91,0.846666667
